timestamp,memory.used_MiB,memory.total_MiB,utilization_pct,temperature_C
1783209331,12732,,81920,,0,,33
1783209361,33064,,81920,,0,,33
1783209391,57204,,81920,,56,,37
1783209421,34574,,81920,,88,,41
1783209451,63134,,81920,,40,,44
1783209481,49574,,81920,,98,,46
1783209511,43992,,81920,,10,,43
1783209541,35396,,81920,,89,,46
1783209571,64002,,81920,,56,,45
1783209601,35196,,81920,,100,,43
1783209631,75504,,81920,,99,,51
1783209661,43860,,81920,,97,,52
1783209691,64100,,81920,,55,,47
1783209721,63480,,81920,,54,,45
1783209751,37378,,81920,,100,,45
1783209781,64438,,81920,,61,,50
1783209811,35796,,81920,,89,,50
1783209841,63480,,81920,,53,,46
1783209871,47706,,81920,,16,,41
1783209901,77940,,81920,,99,,51
1783209931,35696,,81920,,87,,47
1783209961,64542,,81920,,59,,46
1783209991,42518,,81920,,100,,42
1783210021,40216,,81920,,100,,42
1783210051,64418,,81920,,61,,46
1783210081,47648,,81920,,15,,44
1783210111,63698,,81920,,57,,45
1783210141,38456,,81920,,98,,41
1783210171,78844,,81920,,94,,52
1783210201,35858,,81920,,87,,48
1783210231,64380,,81920,,53,,47
1783210261,63578,,81920,,54,,46
1783210291,53218,,81920,,98,,50
1783210321,44820,,81920,,100,,48
1783210351,35898,,81920,,87,,49
1783210381,44416,,81920,,98,,51
1783210411,64398,,81920,,99,,50
1783210441,64278,,81920,,63,,47
1783210471,35816,,81920,,89,,48
1783210501,35776,,81920,,89,,47
1783210531,37696,,81920,,89,,44
1783210561,78284,,81920,,99,,50
1783210591,64458,,81920,,54,,45
1783210621,64202,,81920,,52,,47
1783210651,35856,,81920,,89,,46
1783210681,55638,,81920,,99,,42
1783210711,48168,,81920,,15,,45
1783210742,35816,,81920,,85,,48
1783210772,40200,,81920,,74,,47
1783210802,42498,,81920,,100,,43
1783210832,72522,,81920,,99,,52
1783210862,43420,,81920,,100,,51
1783210892,64220,,81920,,60,,48
1783210922,47666,,81920,,15,,43
1783210952,40116,,81920,,97,,42
1783210982,48088,,81920,,15,,45
1783211012,35716,,81920,,87,,48
1783211042,38420,,81920,,89,,46
1783211072,35936,,81920,,88,,45
1783211102,75124,,81920,,96,,51
1783211132,35996,,81920,,89,,48
1783211162,64318,,81920,,60,,48
1783211192,47686,,81920,,50,,44
1783211222,39078,,81920,,100,,44
1783211252,64338,,81920,,60,,48
1783211282,35716,,81920,,88,,49
1783211312,63520,,81920,,57,,47
1783211342,49516,,81920,,98,,48
1783211372,52138,,81920,,100,,47
1783211402,35718,,81920,,85,,48
1783211432,35780,,81920,,100,,45
1783211462,64280,,81920,,100,,45
1783211492,64358,,81920,,61,,47
1783211522,47708,,81920,,15,,44
1783211552,35796,,81920,,89,,46
1783211582,50078,,81920,,100,,42
1783211612,63498,,81920,,44,,50
1783211643,35678,,81920,,87,,48
1783211673,63438,,81920,,97,,47
1783211703,43978,,81920,,99,,42
1783211733,70862,,81920,,97,,52
1783211763,35696,,81920,,89,,48
1783211793,64320,,81920,,56,,47
1783211823,41756,,81920,,57,,44
1783211853,64300,,81920,,96,,47
1783211883,64518,,81920,,59,,48
1783211913,47708,,81920,,15,,45
1783211943,63518,,81920,,53,,44
1783211973,47706,,81920,,15,,41
1783212003,70864,,81920,,99,,50
1783212033,43780,,81920,,95,,50
1783212063,64380,,81920,,64,,47
1783212093,63518,,81920,,62,,44
1783212123,70802,,81920,,97,,52
1783212153,35678,,81920,,89,,48
1783212183,64502,,81920,,54,,47
1783212213,63840,,81920,,54,,45
1783212243,64358,,81920,,92,,49
1783212273,63638,,81920,,78,,50
1783212303,35938,,81920,,87,,49
1783212333,35700,,81920,,89,,49
1783212363,61020,,81920,,55,,45
1783212393,64400,,81920,,98,,49
1783212423,63618,,81920,,96,,51
1783212454,35896,,81920,,87,,47
1783212484,63818,,81920,,47,,49
1783212514,49936,,81920,,97,,47
1783212544,36498,,81920,,100,,45
1783212574,35856,,81920,,84,,47
