timestamp,memory.used_MiB,memory.total_MiB,utilization_pct,temperature_C
1783162596,12732,,81920,,0,,40
1783162626,12732,,81920,,0,,39
1783162656,12732,,81920,,0,,39
1783162686,33078,,81920,,10,,39
1783162717,57184,,81920,,58,,44
1783162747,34572,,81920,,88,,47
1783162777,43636,,81920,,98,,52
1783162806,35332,,81920,,89,,48
1783162836,49838,,81920,,0,,45
1783162866,44366,,81920,,0,,47
1783162896,44390,,81920,,0,,39
1783162954,64198,,81920,,36,,43
1783162984,35396,,81920,,90,,49
1783163014,45398,,81920,,100,,48
1783163044,64498,,81920,,99,,54
1783163074,64318,,81920,,58,,53
1783163104,35836,,81920,,86,,53
1783163134,63798,,81920,,59,,52
1783163164,47626,,81920,,97,,47
1783163194,62160,,81920,,88,,55
1783163224,64300,,81920,,58,,53
1783163254,48880,,81920,,35,,51
1783163284,46176,,81920,,100,,55
1783163314,64400,,81920,,98,,55
1783163345,64198,,81920,,61,,53
1783163375,35936,,81920,,89,,54
1783163405,63558,,81920,,60,,52
1783163435,63518,,81920,,57,,49
1783163465,49640,,81920,,92,,54
1783163495,64218,,81920,,58,,52
1783163525,47688,,81920,,30,,51
1783163555,35616,,81920,,100,,51
1783163585,64438,,81920,,98,,53
1783163615,64118,,81920,,61,,53
1783163645,35816,,81920,,88,,54
1783163675,47768,,81920,,51,,51
1783163705,63478,,81920,,53,,49
1783163735,78044,,81920,,99,,56
1783163765,43700,,81920,,100,,56
1783163795,63742,,81920,,97,,57
1783163825,35858,,81920,,100,,51
1783163855,42518,,81920,,100,,47
1783163885,79386,,81920,,98,,57
1783163915,35796,,81920,,87,,53
1783163945,41900,,81920,,53,,53
1783163975,63598,,81920,,52,,49
1783164005,64500,,81920,,97,,53
1783164035,64140,,81920,,93,,54
1783164065,35838,,81920,,89,,54
1783164095,63438,,81920,,56,,52
1783164125,35794,,81920,,89,,51
1783164155,71524,,81920,,99,,56
1783164186,43900,,81920,,97,,56
1783164216,64220,,81920,,56,,53
1783164246,63640,,81920,,53,,51
1783164276,35876,,81920,,89,,50
1783164306,81104,,81920,,97,,58
1783164336,35836,,81920,,88,,54
1783164366,64360,,81920,,54,,52
1783164396,50466,,81920,,29,,48
1783164426,71982,,81920,,99,,57
1783164456,35896,,81920,,89,,53
1783164486,64380,,81920,,54,,51
1783164516,47586,,81920,,16,,47
1783164546,69282,,81920,,97,,54
1783164576,64598,,81920,,55,,51
1783164606,63582,,81920,,98,,56
1783164636,63680,,81920,,53,,50
1783164666,50336,,81920,,96,,54
1783164696,37138,,81920,,99,,51
1783164726,35816,,81920,,89,,54
1783164756,44780,,81920,,98,,57
1783164786,35918,,81920,,94,,52
1783164816,64398,,81920,,98,,56
1783164846,64138,,81920,,57,,55
1783164876,35776,,81920,,86,,54
1783164906,63580,,81920,,57,,52
1783164936,64456,,81920,,94,,53
1783164966,63658,,81920,,20,,55
1783164997,35756,,81920,,88,,53
1783165027,35800,,81920,,87,,53
1783165057,45378,,81920,,100,,48
1783165087,64460,,81920,,98,,54
1783165117,64360,,81920,,57,,53
1783165147,35760,,81920,,86,,53
1783165177,63618,,81920,,56,,51
1783165207,47686,,81920,,15,,47
1783165237,75904,,81920,,99,,56
1783165267,43280,,81920,,100,,51
1783165297,63620,,81920,,97,,57
1783165327,47606,,81920,,15,,49
1783165357,64538,,81920,,97,,56
