timestamp,memory.used_MiB,memory.total_MiB,utilization_pct,temperature_C
1782995638,12732,,81920,,0,,34
1782995668,25466,,81920,,25,,34
1782995698,28636,,81920,,1,,39
1782995728,38270,,81920,,10,,41
1782995758,55218,,81920,,49,,43
1782995788,40636,,81920,,97,,47
1782995818,39730,,81920,,100,,46
1782995848,58888,,81920,,36,,43
1782995879,26726,,81920,,88,,47
1782995909,26708,,81920,,89,,47
1782995939,38394,,81920,,21,,43
1782995969,60390,,81920,,96,,54
1782995999,26806,,81920,,89,,50
1782996029,35630,,81920,,98,,52
1782996059,58006,,81920,,55,,46
1782996089,58610,,81920,,92,,52
1782996119,34470,,81920,,94,,52
1782996149,58148,,81920,,98,,52
1782996179,27004,,81920,,89,,48
1782996209,33964,,81920,,54,,45
1782996239,60252,,81920,,99,,52
1782996269,27046,,81920,,87,,49
1782996299,35204,,81920,,97,,51
1782996329,36784,,81920,,99,,43
1782996359,41736,,81920,,28,,46
1782996389,27044,,81920,,85,,50
1782996419,26828,,81920,,89,,50
1782996449,58046,,81920,,55,,45
1782996479,60272,,81920,,93,,52
1782996509,34710,,81920,,100,,47
1782996539,58750,,81920,,61,,49
1782996569,58106,,81920,,52,,47
1782996599,41006,,81920,,97,,51
1782996629,58888,,81920,,57,,50
1782996659,26666,,81920,,88,,51
1782996689,58086,,81920,,52,,47
1782996719,38454,,81920,,15,,43
1782996749,59306,,81920,,96,,52
1782996779,27004,,81920,,89,,49
1782996809,58890,,81920,,54,,47
1782996839,39156,,81920,,14,,44
1782996869,58046,,81920,,77,,46
1782996899,61486,,81920,,99,,52
1782996929,26964,,81920,,89,,49
1782996959,58670,,81920,,57,,48
1782996989,39334,,81920,,18,,44
1782997019,56990,,81920,,99,,50
1782997049,58848,,81920,,53,,48
1782997079,58186,,81920,,97,,53
1782997110,26824,,81920,,89,,49
1782997140,40564,,81920,,97,,49
1782997170,57846,,81920,,64,,47
1782997200,26944,,81920,,87,,50
1782997229,26790,,81920,,87,,50
1782997259,26824,,81920,,89,,47
1782997289,40504,,81920,,98,,49
1782997319,58848,,81920,,0,,46
1782997349,26924,,81920,,86,,49
1782997379,58166,,81920,,53,,46
1782997409,38814,,81920,,14,,41
1782997439,59852,,81920,,99,,52
1782997469,26926,,81920,,89,,48
1782997499,58810,,81920,,50,,47
1782997529,58026,,81920,,51,,45
1782997559,31964,,81920,,100,,45
1782997589,59088,,81920,,56,,48
1782997619,38536,,81920,,15,,47
1782997649,58126,,81920,,55,,47
1782997679,58006,,81920,,54,,45
1782997709,38834,,81920,,95,,49
1782997739,27124,,81920,,89,,51
1782997769,26728,,81920,,88,,51
1782997799,39114,,81920,,35,,45
1782997829,60832,,81920,,99,,51
1782997859,41710,,81920,,54,,46
1782997889,58648,,81920,,61,,49
1782997919,38454,,81920,,13,,44
1782997949,40826,,81920,,98,,50
1782997979,58868,,81920,,62,,48
1782998010,26806,,81920,,89,,49
1782998040,58128,,81920,,53,,47
1782998070,40644,,81920,,98,,49
1782998100,58868,,81920,,60,,48
1782998130,26844,,81920,,87,,49
1782998160,38474,,81920,,14,,46
1782998190,57906,,81920,,33,,43
1782998220,41046,,81920,,97,,50
